Position,Latitude
BA-01,36.909601
BA-02,36.907434
BA-03,36.909709
BA-04,36.800842
BA-05,36.799423
BA-06,36.788802
BA-07,36.78715
BA-08,36.785084
BA-09,36.784905
BA-10,36.779156
BA-11,36.773654
BA-12,36.777636
BA-13,36.783854
BA-14,36.778609
BA-15,36.784092
CN-01,37.546392
CN-02,37.543491
CN-03,37.538511
CN-04,37.544296
CN-05,37.545337
CN-06,37.542367
CN-07,37.541208
CN-08,37.539797
CN-09,37.530647
CN-10,37.523495
CN-11,37.520624
CN-12,37.524524
CN-13,37.520056
CN-14,37.515287
CN-15,37.530643
GB-01,37.874474
GB-02,37.864283
GB-03,37.873844
GB-04,37.871372
GB-05,37.868356
GB-06,37.867394
GB-07,37.875143
GB-08,37.865946
GB-09,37.864474
GB-10,37.872153
GB-11,37.868865
GB-12,37.862183
GB-13,37.86203
GB-14,37.873954
GB-15,37.861532
LN-01,36.556599
LN-02,36.538077
LN-03,36.535953
LN-04,36.539439
LN-05,36.555542
LN-06,36.544019
LN-07,36.540417
LN-08,36.534344
LN-09,36.556143
LN-10,36.55645
LN-11,36.537436
LN-12,36.538637
LN-13,36.539581
LN-14,36.536969
LN-15,36.538947
OL-01,36.237278
OL-02,36.246314
OL-03,36.237595
OL-04,36.247455
OL-05,36.241429
OL-06,36.248968
OL-07,36.252449
OL-08,36.249263
OL-09,36.259625
OL-10,36.234013
OL-11,36.24162
OL-12,36.25354
OL-13,36.258648
OL-14,36.24149
OL-15,36.221943
SW-01,36.940881
SW-02,36.93488
SW-03,36.930588
SW-04,36.940437
SW-05,36.93545
SW-06,36.927493
SW-07,36.933946
SW-08,36.936176
SW-09,36.941487
SW-10,36.942286
SW-11,36.948396
SW-12,36.945879
SW-13,36.936298
SW-14,36.931377
SW-15,36.947123
WA-01,38.029909
WA-02,38.028135
WA-03,38.023965
WA-04,38.039744
WA-05,38.03695
WA-06,38.029912
WA-07,38.038864
WA-08,38.032455
WA-09,38.033234
WA-10,38.034548
WA-11,38.033961
WA-12,38.029195
WA-13,38.032064
WA-14,38.024425
WA-15,38.034105
WH-01,37.446225
WH-02,37.448012
WH-03,37.45509
WH-04,37.449493
WH-05,37.455961
WH-06,37.456351
WH-07,37.369946
WH-08,37.377802
WH-09,37.379636
WH-10,37.405162
WH-11,37.400025
WH-12,37.399713
WH-13,37.393521
WH-14,37.369018
WH-15,37.40605
WL-01,36.710097
WL-02,36.729701
WL-03,36.693685
WL-04,36.687823
WL-05,36.68382
WL-06,36.710282
WL-07,36.714186
WL-08,36.682571
WL-09,36.72651
WL-10,36.722766
WL-11,36.721796
WL-12,36.677922
WL-13,36.675834
WL-14,36.723185
WL-15,36.681476
